,vid_id,iou
179,c7HroaL0WDc,0.0
180,GrACpo7aonA,0.0
181,duZnMXDWkGw,0.0
182,2D22fVcAcyo,0.0
183,1L_4N307nBk,0.0
184,LGS_yzsScfw,0.0
185,VUvEWwghANE,0.0
186,B7t85SESTXI,0.0
187,UfjR8ewF8xo,0.0
188,gXAMD_KxXII,0.0
189,0GWJ-VHFlTk,0.0
190,S8RXX1uOGgQ,0.0
191,DfOiHMcrCbs,0.0
192,2ji02dSx1nM,0.0
193,iMATWwGyAUM,0.0
194,2SKZB0bfqF8,0.0
195,r015El3onHw,0.0
196,QMCHIR3nDLs,0.0
197,U5wliityRuU,0.0
198,ObkyDlB5wvs,0.0
199,QlTddnlIJpA,0.0
200,V4wwal5FQZE,0.0
201,SLdf2ZUdgEQ,0.0
202,hwGvU9Csz98,0.0
203,F1xZKduLnWg,0.0
204,SvYeqLg4dQU,0.0
205,j89l589KFrg,0.0
206,Fi2Al65EH0g,0.0
207,9ZboVy59qrw,0.0
208,tIbSsad0z9U,0.0
209,QhiKgeJV3k0,0.0
210,gLfvk2SSj1c,0.0
211,M6FdaEstXbI,0.0
212,le0tJsyuPks,0.0
213,pi6sBUrSNGk,0.0
214,Tw1vg9qWLx0,0.0
215,lFlQ_xWVt8M,0.0
216,BSsXKG9dFHI,0.0
217,v5patZyuYys,0.0
218,0iIY3HLF3lU,0.0
219,yeLB4QXA3NQ,0.0
220,r-_JFgDJRrQ,0.0
221,RUAWJc2OIJY,0.0
222,ibjvKk93__g,0.0
223,9T1C2CW_P0A,0.0
224,wDFpFJ1CP9g,0.0
225,QrQN-Hm5xew,0.0
226,ILIpCfCWyT0,0.0
227,e6J_ygZ779A,0.0
228,wb8TkqxxEuo,4.313039919823748e-05
229,HCphw9_Jku8,6.02092814414784e-05
230,SGiMk9KdOQw,7.392966479564974e-05
231,iChE4EoYG6k,8.855874189900855e-05
232,T_5ANYuDWOA,9.639104226468542e-05
233,5ssP_EapV9Q,9.922699196440873e-05
234,m2hiQ9EOUUI,0.00010347593248103214
235,BtYKJOmw-aU,0.00010442664550277153
236,Rn5qprCWXFg,0.00011246462284697339
237,UcVbSLmILaY,0.00014563373319974215
238,8onOVVuN_Is,0.00015842387257659188
239,TqO5Ddh5Lp4,0.0001679582657302173
240,m9CbLJdYqHw,0.00023728215125705244
241,h7iCyiNUxeE,0.0014961530272108467
242,yFJVEplkVHA,0.0041054944531374316
243,I4y6q9oIIQo,0.0052859744846238425
244,8-1h1YXYvhk,0.005600956860959081
245,IWdJF6lBSnM,0.006240450997965495
246,y-X0DjEHD_k,0.006991999632096766
247,Q-879RNVOdg,0.007150382893777537
248,HEw5wIWVpWE,0.00812535389562609
249,_xgGaxc1jNE,0.009455106264360033
250,o86qcfpzO0g,0.009551604531591323
251,D5jLypnn6Ps,0.010988074347564734
252,DFAodsf1dWk,0.011011138321370108
253,z6U8CyJRNXw,0.011108651005048544
254,4ACqWG_p1bI,0.012606528445392284
255,AY6QSTuHGRc,0.01269813946173973
256,BGHQbw5HZ9Y,0.013317736299715324
257,U0qUFAPUg_Y,0.01402303447738355
258,e4AIrRnWakA,0.014164023012901478
259,E5FiPYZARLE,0.014182371235620918
260,kZB7yxzHOrA,0.014318205600196306
261,AMMECm7Huhk,0.014614833162995639
262,sxQbiXWFdKs,0.014936708030939648
263,TIAAUayALPI,0.01493673570356658
264,j55LAXY-T0E,0.015402917938387698
265,iSH43hQoxio,0.01591897990206821
266,xv8OYJ7t7-E,0.016326069149841794
267,fZQclIXmRHE,0.01689013338576972
268,GSo0lqq5zmM,0.016916319512368917
